stop_id,stop_name,stop_desc,stop_lon,stop_lat
101,"Helyi autóbusz-állomás","",17.790058,46.353944
102,"Helyi autóbusz-állomás","",17.79013,46.353851
103,"Helyi autóbusz-állomás","",17.790559,46.353864
104,"Helyi autóbusz-állomás","",17.79098,46.353708
105,"Helyi autóbusz-állomás","",17.791053,46.353758
106,"Helyi autóbusz-állomás","",17.791378,46.353631
107,"Helyi autóbusz-állomás","",17.791546,46.353674
108,"Helyi autóbusz-állomás","",17.79171,46.353564
109,"Helyi autóbusz-állomás","",17.79211,46.353549
110,"Helyi autóbusz-állomás","",17.79209,46.353484
111,"Helyi autóbusz-állomás","",17.792456,46.353408
112,"Helyi autóbusz-állomás","",17.793026,46.353295
120,"Helyi autóbusz-állomás","",17.7933612,46.353366
201,"Berzsenyi u. felüljáró","",17.785368,46.356496
202,"Berzsenyi u. felüljáró","",17.784656,46.355323
203,"Berzsenyi u. felüljáró","",17.784867,46.355406
204,"Berzsenyi u. felüljáró","",17.785847,46.355098
801,"Füredi u. csp.","",17.781451,46.363761
802,"Füredi u. csp.","",17.782521,46.363155
803,"Füredi u. csp.","",17.78242,46.364555
804,"Füredi u. csp.","",17.783323,46.36394
1201,"Városi könyvtár","",17.776984,46.36313
1202,"Városi könyvtár","",17.779185,46.363396
1401,"Vasútköz","",17.770321,46.363941
1402,"Vasútköz","",17.770503,46.363737
1601,"Hajnóczy u. csp.","",17.765327,46.366725
1602,"Hajnóczy u. csp.","",17.765124,46.366737
1603,"Hajnóczy u. csp.","",17.763714,46.366094
1604,"Hajnóczy u. csp.","",17.765918,46.365568
2701,"Raktár u.","",17.769202,46.379373
2901,"Tompa M. u.","",17.778585,46.353738
2902,"Tompa M. u.","",17.77867,46.353673
3101,"Kölcsey u.","",17.774299,46.352766
3102,"Kölcsey u.","",17.774628,46.352779
3501,"Eger u.","",17.767928,46.348416
3502,"Eger u.","",17.768143,46.348267
3701,"Kapoli A. u.","",17.76328,46.347673
3702,"Kapoli A. u.","",17.76334,46.347351
3901,"Egyenesi u. 42.","",17.763222,46.345199
3902,"Egyenesi u. 42.","",17.763348,46.345322
4101,"Egyenesi u. forduló","",17.763483,46.339
4401,"Kecelhegyi iskola","",17.765594,46.353505
4501,"67-es sz. út","",17.782719,46.351172
4502,"67-es sz. út","",17.78189,46.350693
4801,"Gönczi F. u.","",17.774572,46.344759
4901,"Koppány vezér u.","",17.771347,46.345096
5001,"Bartók B. u.","",17.790428,46.351489
5002,"Bartók B. u.","",17.790546,46.351467
5401,"Táncsics M. u.","",17.787405,46.345626
5402,"Táncsics M. u.","",17.787425,46.345522
